name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,carbs ratio:,fats ratio:,protein ratio:,GLYCEMIC_LOAD:,Completeness Score:,Amino Acid Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Calories From Alcohol:,Dietary Fiber:,Starch:,Sugars:,Sucrose:,Glucose:,Fructose:,Lactose:,Maltose:,Galactose:,Total Fat:,Saturated Fat:,4:00,6:00,8:00,10:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,22:00,24:00:00,Monounsaturated Fat:,14:01,15:01,16:1 undifferentiated:,16:1 c:,16:1 t:,17:01,18:1 undifferentiated:,18:1 c:,18:1 t:,20:01,22:1 undifferentiated:,22:1 c:,22:1 t:,24:1 c:,Polyunsaturated Fat:,16:2 undifferentiated:,18:2 undifferentiated:,"18:2 n-6 c,c:","18:2 c,t:","18:2 t,c:","18:2 t,t:",18:2 i:,18:2 t not further defined:,18:03,"18:3 n-3, c,c,c:","18:3 n-6, c,c,c:",18:4 undifferentiated:,"20:2 n-6 c,c:",20:3 undifferentiated:,20:3 n-3:,20:3 n-6:,20:4 undifferentiated:,20:4 n-3:,20:4 n-6:,20:5 n-3:,22:02,22:5 n-3:,22:6 n-3:,Total trans fatty acids:,Total trans-monoenoic fatty acids:,Total trans-polyenoic fatty acids:,Total Omega-3 fatty acids:,Total Omega-6 fatty acids:,Protein:,Tryptophan:,Threonine:,Isoleucine:,Leucine:,Lysine:,Methionine:,Cystine:,Phenylalanine:,Tyrosine:,Valine:,Arginine:,Histidine:,Alanine:,Aspartic acid:,Glutamic acid:,Glycine:,Proline:,Serine:,Hydroxyproline:,Vitamin A:,Retinol:,Retinol Activity Equivalent:,Alpha Carotene:,Beta Carotene:,Beta Cryptoxanthin:,Lycopene:,Lutein+Zeaxanthin:,Vitamin C:,Vitamin D:,Vitamin E (Alpha Tocopherol):,Beta Tocopherol:,Gamma Tocopherol:,Delta Tocopherol:,Vitamin K:,Thiamin:,Riboflavin:,Niacin:,Vitamin B6:,Folate:,Food Folate:,Folic Acid:,Dietary Folate Equivalents:,Vitamin B12:,Pantothenic Acid:,Choline:,Betaine:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Copper:,Manganese:,Selenium:,Fluoride:,Cholesterol:,Phytosterols:,Campesterol:,Stigmasterol:,Beta-sitosterol:,Alcohol:,Water:,Ash:,Caffeine:,Theobromine:,tag
Pork. cured. ham and water product. shank. bone-in. unheated. separable lean only,3,1.6,25.0518679,19.6499429,17.92480136,5%,33%,62%,1.199999094,43,134,112.99172,5.2626677,37.614635,70.10233,0,0,,1.0599425,550.0665,399.96414,109.983536,0,0,0,4.1798043,1.3841127,0,0,0,0,0,,43.006485,0,861.8872,8.001201,453.0551,,7.000213,11.000802,,1.8490505,0,0,93.00425,,,0,1728.8955,1704.0831,24.997374,27.999046,0,,,,0.67090625,,560.95154,535.0783,,,15.999458,,,17.000992,17.000992,0,0,20.001848,0,,,72.99801,,,0,,0,0,0.04099507,0.024996204,0.01600113,17.000992,564.92993,17.527843,165.01753,783.96185,791.04504,1404.8995,1480.8972,419.03476,196.97018,701.0442,568.9365,886.88403,1121.988,764.0717,1033.0804,1529.241,2508.77,916.1305,751.89746,685.8967,114.01263,32.002308,8.999572,8.999572,0,0,0,0,0,0,,0.25002137,0,0.059997056,0,0,0.695968,0.22499089,3.5800967,0.26702216,1.0000149,1.0000149,0,1.0000149,0.54992384,0.6319361,85.689445,4.400305,8.001201,0.96992815,14.998988,209.03064,233.97969,1090.0145,2.1903176,0.13399477,0.022001525,28.098162,,51.997932,,,,,0,73.965805,3.1100764,0,0,1
Pork. cured. ham and water product. slice. bone-in. separable lean and fat. heated. pan-broil,2.8,1.5,22.0893361,17.64301273,17.93453625,4%,45%,51%,1.410161376,37,133,154.99777,5.5795794,70.03481,79.38228,0,0,,1.0300399,0,1030.098,0,0,0,0,7.780657,2.5862117,0,0,0,3.9998012,3.9998012,,90.99468,0,1649.1523,18.999727,794.1003,,12.00148,13.000965,,3.5766473,0,0,191.97278,,,0,3328.3552,,,57.00155,0,,,,1.032029,,894.0351,,,,,,,35.995106,,,0,38.0033,0,,,63.98985,,,0,,0,0,0.05799291,,,35.995106,932.1609,19.848227,185.0103,884.0396,892.02704,1584.2438,1667.263,472.0721,222.97264,792.06213,639.9183,1002.02985,1268.0651,864.9381,1170.9626,1730.0066,2832.6677,1054.878,856.91797,775.9444,128.98085,38.0033,11.000802,11.000802,0,0,0,0,0,0,,0.15001008,0.010001244,0.050003715,0,0,0.37405774,0.17700617,4.8549194,0.42699304,1.9998937,1.9998937,0,1.9998937,0.43997213,0.5799125,84.10768,3.5997064,11.000802,0.89990973,18.999727,249.98695,280.99536,1188.0125,2.1602569,0.13099311,0.022001525,23.798439,,63.98985,,,,,0,67.213486,3.7496407,0,0,1
Pork. cured. ham and water product. slice. bone-in. separable lean and fat. unheated,2.6,1.6,21.83393397,18.92453067,20.41866442,7%,56%,37%,2.72004056,38,133,148.99292,10.615423,83.62275,54.758003,0,0,,0.8501146,0,850.0637,0,0,0,0,9.290409,3.0762823,0,0,0,0,0,,107.988014,0,1952.7338,23.998045,961.97296,,13.997976,13.997976,,4.212161,0,0,213.03015,,,0,3933.461,,,65.00506,0,,,,1.2500091,,1091.0656,,,,,,,44.999252,,,0,45.993046,0,,,67.99529,,,0,,0,0,0.0719953,,,44.999252,1137.2283,13.691101,127.0073,608.0544,613.9425,1090.0145,1146.0297,323.9681,154.00516,544.966,440.00296,690.0958,873.0333,597.022,809.0343,1192.984,1950.8529,735.8875,593.00806,535.0783,101.00833,33.004616,9.999676,9.999676,0,0,0,0,0,0,,0.18000458,0.010001244,0.050003715,0,0,0.40204018,0.1599787,4.1771193,0.34201598,1.0000149,1.0000149,0,1.0000149,0.4599603,0.38197133,68.10459,2.8996646,8.001201,1.389909,13.997976,213.03015,204.97449,1099.1566,1.6000471,0.13201466,0.022001525,13.300916,,49.999485,,,,,0,71.07739,3.230267,0,0,1
Pork. cured. ham and water product. slice. bone-in. separable lean only. heated. pan-broil,3.1,1.6,25.38570343,19.34224988,16.8919911,4%,27%,69%,1.349838138,42,134,122.008415,5.7322135,32.667072,83.595894,0,0,,1.0998687,0,1099.863,0,0,0,0,3.6299057,1.2170949,0,0,0,0,0,,39.99484,0,768.99646,8.001201,384.9633,,5.0005703,8.999572,,1.6619005,0,0,88.99994,,,0,1549.0175,1533.1759,15.999458,23.998045,0,,,,0.51697123,,427.0524,413.95074,,,13.000965,,,13.997976,13.997976,0,0,17.000992,0,,,58.994904,,,0,,0,0,0.0290007,0.01600113,0.012998266,13.997976,431.04932,20.901812,196.02336,934.8598,943.00336,1674.2401,1765.9419,500.0123,235.03435,835.98206,678.0104,1056.9132,1337.0902,909.9712,1231.1377,1823.0051,2990.7,1092.1174,896.9117,817.91895,135.00063,38.0033,11.000802,11.000802,0,0,0,0,0,0,,0.12997942,0.010001244,0.03999539,0,0,0.3829568,0.18400192,5.0231147,0.4489873,1.9998937,1.9998937,0,1.9998937,0.4599603,0.59599274,92.11226,3.8995485,12.00148,0.9299177,18.999727,257.982,288.95923,1237.0842,2.2502522,0.11300784,0.022001525,24.496548,,63.98985,,,,,0,70.21503,3.8995485,0,0,1
Pork. cured. ham and water product. slice. bone-in. separable lean only. unheated,3,1.8,26.26454697,21.06760136,18.97423585,11%,33%,56%,2.819720984,46,134,103.00716,11.110908,34.016453,57.868702,0,0,,0.910096,0,909.9712,0,0,0,0,3.779883,1.2661874,0,0,0,0,0,,41.996197,0,799.98914,8.001201,400.99332,,5.0005703,9.999676,,1.7300317,0,0,93.00425,,,0,1611.9648,1595.9921,15.999458,24.997374,0,,,,0.53802,,444.97794,431.04932,,,13.997976,,,14.998988,14.998988,0,0,18.00149,0,,,60.999146,,,0,,0,0,0.029999979,0.01600113,0.013999227,14.998988,448.99835,14.468909,136.00175,647.9857,653.00073,1160.1049,1222.8605,346.02054,163.01541,579.0777,469.95386,732.1149,925.8938,629.92456,851.97736,1263.1864,2072.2988,756.0148,621.0836,566.9297,93.995415,31.00055,8.999572,8.999572,0,0,0,0,0,0,,0.11000829,0.010001244,0.029999979,0,0,0.42302448,0.17798091,4.380555,0.3619678,1.0000149,1.0000149,0,1.0000149,0.47992665,0.38704866,72.810646,3.1000986,8.999572,1.4999374,13.997976,221.97212,209.03064,1160.1049,1.6597652,0.13702036,0.022001525,13.000965,,48.99776,,,,,0,75.55074,3.389778,0,0,1
Pork. cured. ham and water product. slice. boneless. separable lean and fat. heated. pan-broil,2.8,1.2,19.60400087,14.74095974,15.6320949,14%,37%,49%,3.587107781,39,134,123.98392,17.482853,46.17069,60.317154,0,0,0,4.6893406,0,4029.379,480.02393,0,170.02179,0,5.13077,1.5529237,0,0,0,0,0,,57.998978,0,989.87256,13.000965,480.02393,,1.9998937,9.999676,,2.1602569,0,0,124.98363,,,0,1999.0667,,,35.995106,0,,,,0.6991095,,599.9057,,,,,,,23.998045,,,0,24.997374,0,,,49.999485,,,0,,0,0,0.038004167,,,23.998045,624.886,15.081127,141.98387,674.968,681.06647,1208.0239,1274.1901,361.00836,168.98723,602.997,489.05136,763.0906,965.0681,656.9985,888.02435,1316.2086,2157.8967,788.0016,646.94574,589.96796,98.00385,43.998653,13.000965,13.000965,0,0,0,0,0,0,,0.12997942,0,0.03999539,0,0,0.3080108,0.13702036,4.2831297,0.33503595,1.9998937,1.9998937,0,1.9998937,0.43997213,0.6890619,64.50581,4.500395,8.001201,0.74007,17.000992,239.99352,272.02487,1389.1924,1.6301566,0.08498941,0.037002373,32.60417,,44.999252,,,,,0,71.14593,4.2693896,0,0,1
Pork. cured. ham and water product. slice. boneless. separable lean only. heated. pan-broil,2.8,1.2,19.78158225,14.94666325,15.79712505,14%,37%,49%,3.587431332,39,134,122.9922,17.083113,45.5373,60.35592,0,0,0,4.6893406,0,4039.747,480.02393,0,170.02179,0,5.060372,1.5281644,0,0,0,0,0,,57.00155,0,972.8497,13.000965,472.0721,,1.9998937,8.999572,,2.1251376,0,0,122.9922,,,0,1965.9513,1942.723,23.001692,35.00304,0,,,,0.6899491,,592.0564,577.96265,,,13.997976,,,23.998045,23.998045,0,0,23.998045,0,,,48.99776,,,0,,0,0,0.037002373,0.02299783,0.013999227,23.998045,602.02924,15.090819,141.98387,674.968,681.06647,1209.1886,1275.0089,361.00836,168.98723,603.96625,489.99487,764.0717,965.99866,656.9985,888.88055,1317.0544,2159.9773,788.0016,647.9857,590.9163,98.00385,43.998653,13.000965,13.000965,0,0,0,0,0,0,,0.11998849,0,0.029999979,0,0,0.3080108,0.13702036,4.284506,0.33503595,3.0001352,3.0001352,0,3.0001352,0.43997213,0.6890619,64.60951,4.500395,8.001201,0.74007,17.000992,239.99352,272.02487,1390.0852,1.6401428,0.08498941,0.037002373,32.60417,,44.999252,,,,,0,71.19165,4.2693896,0,0,1
Pork. cured. ham and water product. whole. boneless. separable lean and fat. heated. roasted,2.7,1.2,18.48487746,14.15124494,15.85849717,15%,40%,45%,3.561340752,39,134,122.9922,18.316496,49.139626,55.519638,0,0,0,4.610162,39.99484,3949.9216,469.95386,0,150.00142,0,5.460754,1.840749,0,0,0,0,0,,67.99529,0,1158.9874,14.998988,580.00854,,8.001201,11.000802,,2.4581747,0,0,130.02084,,,0,2286.3486,,,40.99647,0,,,,0.85093516,,741.10657,,,,,,,30.00122,,,0,32.002308,0,,,46.99369,,,0,,0,0,0.04699925,,,30.00122,773.2074,13.881542,130.02084,621.0836,627.09796,1111.9415,1172.845,331.97476,155.9968,555.03644,451.0222,701.94556,888.02435,604.93713,817.91895,1211.1323,1986.9026,725.09344,596.06384,543.04376,90.00624,43.998653,13.000965,13.000965,0,0,0,0,0,0,,0.21996589,0.010001244,0.03999539,0,0,0.2599705,0.14097767,3.6194236,0.2599705,1.9998937,1.9998937,0,1.9998937,0.36998367,0.64404637,63.396492,4.400305,8.001201,0.74007,14.998988,223.97768,244.97862,1334.9443,1.6401428,0.095005676,0.038004167,29.099466,,43.006485,,,,,0,72.112335,4.050239,0,0,1
Pork. cured. ham and water product. whole. boneless. separable lean and fat. unheated,2.8,1.2,19.63821121,14.78056916,15.66389324,14%,38%,48%,3.444094673,40,134,117.01818,15.9072075,44.89818,56.201527,0,0,0,4.209455,0,3649.7996,409.98065,0,139.99113,0,4.9893365,1.4888889,0,0,0,0,0,,56.00328,0,953.0531,12.00148,459.06158,,0,9.999676,,2.097993,0,0,122.008415,,,0,1942.099,,,33.994606,0,,,,0.65998816,,566.9297,,,,,,,23.001692,,,0,23.998045,0,,,45.993046,,,0,,0,0,0.037002373,,,23.001692,590.9163,14.052044,131.99881,628.9136,633.9846,1125.9596,1186.8682,336.05197,158.0142,562.03375,455.97522,711.0233,898.9308,611.9735,827.9644,1226.0071,2011.3052,733.99884,602.997,550.0665,90.99468,44.999252,13.000965,13.000965,0,0,0,0,0,0,,0.15001008,0.02000271,0.03999539,0,0,0.2839818,0.14598978,3.8671064,0.29404223,3.0001352,3.0001352,0,3.0001352,0.34003833,0.65998816,64.79658,3.200305,8.001201,0.77990705,17.000992,227.97006,267.0035,1308.1996,1.5897938,0.10698354,0.03999539,29.400146,,43.006485,,,,,0,72.95112,3.9998012,0,0,1
Pork. cured. ham and water product. whole. boneless. separable lean only. heated. roasted,2.7,1.2,18.48487746,14.15124494,15.85849717,15%,40%,45%,3.561340752,39,134,122.9922,18.316496,49.139626,55.519638,0,0,0,4.610162,39.99484,3949.9216,469.95386,0,150.00142,0,5.460754,1.840749,0,0,0,0,0,,67.99529,0,1158.9874,14.998988,580.00854,,8.001201,11.000802,,2.4581747,0,0,130.02084,,,0,2286.3486,2255.7087,30.00122,40.99647,0,,,,0.85093516,,741.10657,723.92975,,,17.000992,,,30.00122,30.00122,0,0,32.002308,0,,,46.99369,,,0,,0,0,0.04699925,0.029999979,0.017001577,30.00122,756.0148,13.881542,130.02084,621.0836,627.09796,1111.9415,1172.845,331.97476,155.9968,555.03644,451.0222,701.94556,888.02435,604.93713,817.91895,1211.1323,1986.9026,725.09344,596.06384,543.04376,90.00624,43.998653,13.000965,13.000965,0,0,0,0,0,0,,0.21996589,0.010001244,0.03999539,0,0,0.2599705,0.14097767,3.6194236,0.2599705,1.9998937,1.9998937,0,1.9998937,0.36998367,0.64404637,63.396492,4.400305,8.001201,0.74007,14.998988,223.97768,244.97862,1334.9443,1.6401428,0.095005676,0.038004167,29.099466,,43.006485,,,,,0,72.112335,4.050239,0,0,1
Pork. cured. ham and water product. whole. boneless. separable lean only. unheated,2.8,1.2,19.81541834,14.98588485,15.82856097,13%,38%,49%,3.447825689,40,134,116.00763,15.9891815,43.730923,56.27379,0,0,0,4.220289,0,3660.367,409.98065,0,139.99113,0,4.8596015,1.4468964,0,0,0,0,0,,54.006813,0,925.8938,12.00148,444.97794,,0,8.999572,,2.0407996,0,0,118.9893,,,0,1887.9674,1865.0613,21.99718,33.004616,0,,,,0.64404637,,552.0137,539.0463,,,13.000965,,,21.99718,21.99718,0,0,23.001692,0,,,45.993046,,,0,,0,0,0.036002528,0.022001525,0.012998266,21.99718,562.03375,14.070112,131.99881,629.92456,635.0037,1127.0453,1189.158,337.02493,158.0142,562.9372,457.0017,711.93756,900.0866,612.9572,829.02893,1227.1892,2013.8912,734.94257,603.96625,550.95074,90.99468,44.999252,13.000965,13.000965,0,0,0,0,0,0,,0.13997783,0.02000271,0.03999539,0,0,0.2839818,0.14598978,3.8695924,0.29404223,3.9998012,3.9998012,0,3.9998012,0.34003833,0.6610507,64.900734,3.200305,8.001201,0.77990705,17.000992,228.99762,268.03476,1309.8817,1.6000471,0.10698354,0.03999539,29.400146,,43.006485,,,,,0,73.04492,4.010096,0,0,1
Pork. cured. ham with natural juices. rump. bone-in. separable lean and fat. heated. roasted,2.8,1.5,22.15059919,17.71521833,17.99108628,1%,48%,51%,0.600033581,38,133,176.98784,2.608749,84.51394,89.861786,0,0,,0.45000032,60.007927,239.99352,150.00142,0,0,0,9.389428,3.1160784,0,0,0,5.0005703,5.9997916,,115.0058,0,2002.9233,27.000887,927.0843,,13.997976,18.00149,,4.3636975,0,0,249.02515,,,0,4047.5408,,,66.99792,0,,,,1.3368827,,1156.0128,,,,,,,48.000683,,,0,44.999252,0,,,88.00489,,,0,,0,0,0.0719953,,,48.000683,1201.059,22.468554,209.03064,1000.1004,1010.1094,1792.2305,1886.1488,534.048,252.97595,896.0477,723.92975,1133.9452,1435.0034,979.12006,1325.9692,1957.7585,3205.5828,1196.8225,970.04114,878.096,146.00793,38.0033,11.000802,11.000802,0,0,0,0,0,0,,0.26996553,0,0.050003715,0,0,0.32703674,0.22203398,7.1272984,0.3639554,1.0000149,1.0000149,0,1.0000149,0.5799125,0.47807634,98.60384,2.7000108,9.999676,0.99009603,21.002775,259.9786,476.9498,841.10004,2.350029,0.11998849,0.022001525,46.20036,,71.9966,,,,,0,64.38161,3.1696022,0,0,1
Pork. cured. ham with natural juices. rump. bone-in. separable lean and fat. unheated,2.6,1.4,19.92064878,16.60853974,18.55602163,1%,60%,39%,0.430028468,33,132,200.03085,1.8978204,119.33382,78.79793,0,0,0,0.43002847,49.999485,259.9786,119.98728,0,0,0,13.258254,4.373523,0,0,0,0,0,,160.00629,0,2792.0146,39.005146,1341.8232,,21.002775,18.999727,,6.030713,0,0,312.01794,,,0,5625.861,,,91.99397,0,,,,1.8301303,,1614.0374,,,,,,,71.00893,,,0,65.993965,0,,,79.000694,,,0,,0,0,0.104990266,,,71.00893,1680.1666,19.702114,182.00397,873.0333,882.05396,1566.0284,1644.9197,466.0451,221.97212,783.96185,630.93713,992.1009,1255.9034,858.0197,1164.9597,1715.0667,2804.5994,1065.0931,854.9932,768.99646,148.99292,35.995106,11.000802,11.000802,0,0,0,0,0,0,,0.34003833,0,0.07000633,0,0,0.25896645,0.18501498,6.310195,0.30603185,1.0000149,1.0000149,0,1.0000149,0.4699889,0.37105778,88.089745,2.600379,8.001201,0.9401409,18.999727,230.99243,278.03235,838.1332,2.149868,0.10698354,0.022001525,35.995106,,66.99792,,,,,0,63.86663,2.7596602,0,0,1
Pork. cured. ham with natural juices. rump. bone-in. separable lean only. heated. roasted,3.1,1.7,26.17238066,20.24662663,17.55580202,2%,28%,70%,0.479926646,42,134,137.01031,2.2094061,38.24825,96.535286,0,0,0,0.47992665,69.98983,239.99352,170.02179,0,0,0,4.2502275,1.4178888,0,0,0,0,0,,51.997932,0,914.9541,13.997976,417.95926,,5.0005703,13.997976,,1.9947582,0,0,123.98392,,,0,1845.9877,1824.7628,21.002775,25.996523,0,,,,0.71090245,,588.07587,555.92865,,,13.997976,,,21.002775,21.002775,0,0,18.999727,0,,,83.00719,,,0,,0,0,0.03499428,0.020997066,0.013999227,21.002775,593.00806,24.137215,227.02003,1079.9073,1090.0145,1934.0056,2039.2802,577.0351,270.97827,965.99866,782.95514,1220.898,1545.0417,1051.1572,1422.154,2105.8523,3454.7197,1261.159,1036.0714,945.1262,155.9968,37.003403,11.000802,11.000802,0,0,0,0,0,0,,0.26996553,0,0.03999539,0,0,0.3329912,0.23798226,7.619859,0.38394478,1.0000149,1.0000149,0,1.0000149,0.6099614,0.48598963,110.58581,3.0001352,9.999676,1.040024,21.99718,270.97827,511.0547,861.057,2.5004015,0.09399332,0.022001525,49.903206,,71.9966,,,,,0,67.90798,3.2899776,0,0,1
Pork. cured. ham with natural juices. rump. bone-in. separable lean only. unheated,3.2,1.7,27.13173174,20.67314535,17.03490656,0%,26%,74%,0,42,134,122.008415,0,31.23045,90.79029,0,0,0,0.43002847,60.007927,219.98453,160.00629,0,0,0,3.4702315,1.1601655,0,0,0,0,0,,43.006485,0,748.0428,11.000802,342.04205,,3.9998012,11.000802,,1.6322539,0,0,101.00833,,,0,1510.2019,1491.8792,17.000992,21.002775,0,,,,0.5819688,,480.95,453.92917,,,12.00148,,,17.000992,17.000992,0,0,14.998988,0,,,67.99529,,,0,,0,0,0.0290007,0.017001577,0.012001306,17.000992,483.89444,22.708014,213.03015,1015.967,1025.1464,1818.9105,1917.9199,543.04376,255.01575,907.92725,737.07043,1148.9786,1453.0944,988.91907,1337.0902,1981.1666,3250.1687,1186.1058,975.03973,888.88055,146.99622,33.994606,9.999676,9.999676,0,0,0,0,0,0,,0.23998661,0,0.03999539,0,0,0.26496378,0.22499089,7.23109,0.33600885,1.0000149,1.0000149,0,1.0000149,0.5100298,0.37696046,102.21606,2.799857,8.999572,1.0501049,21.002775,252.97595,303.02893,892.8871,2.399635,0.109014295,0.022001525,40.99647,,67.99529,,,,,0,70.80393,2.9599164,0,0,1
Pork. cured. ham with natural juices. shank. bone-in. separable lean and fat. heated. roasted,2.8,1.5,22.3193992,17.91434811,18.14684693,0%,52%,48%,0.330000579,38,132,190.9886,1.1098151,98.38237,91.492966,0,0,0,0.33000058,49.999485,150.00142,139.99113,0,0,0,10.930346,3.5446122,0,0,0,5.9997916,7.000213,,124.98363,0,2281.2134,25.996523,1067.148,,17.000992,17.000992,,5.1192436,0,0,274.04214,,,0,4766.5244,,,79.99666,0,,,,1.3511406,,1180.0253,,,,,,,48.000683,,,0,48.99776,0,,,72.99801,,,0,,0,0,0.0789936,,,48.000683,1229.1619,22.876417,212.00613,1016.94653,1028.1145,1824.1768,1917.9199,543.04376,256.9894,912.01965,735.8875,1154.1576,1460.1129,996.8929,1350.9056,1993.9359,3262.7217,1222.0751,988.91907,894.0351,147.99121,38.0033,11.000802,11.000802,0,0,0,0,0,0,,0.29997736,0,0.050003715,0,0,0.28896838,0.18501498,7.189393,0.35802507,3.0001352,3.0001352,0,3.0001352,0.63991547,0.5390599,90.99468,2.5004015,7.000213,1.110172,20.001848,244.03609,424.04498,801.0177,2.819721,0.19300982,0.022001525,44.49614,,73.98957,,,,,0,62.95003,2.979958,0,0,1
Pork. cured. ham with natural juices. shank. bone-in. separable lean and fat. unheated,2.7,1.5,21.55565132,17.77592732,18.7775206,1%,52%,47%,0.319948822,35,132,190.9886,1.5770696,100.00745,89.4011,0,0,0,0.31994882,39.99484,160.00629,119.98728,0,0,0,11.110908,3.6136131,0,0,0,0,0,,128.98085,0,2309.2305,28.996819,1115.1609,,17.000992,14.998988,,5.0880876,0,0,254.03459,,,0,4755.8184,,,77.992065,0,,,,1.4188007,,1255.9034,,,,,,,54.006813,,,0,52.992855,0,,,56.00328,,,0,,0,0,0.08498941,,,54.006813,1309.0404,22.353361,207.02588,993.05743,1002.996,1780.7529,1872.8661,529.94653,251.0331,890.02344,719.0626,1127.0453,1425.8135,974.1005,1320.0194,1947.0964,3187.1008,1196.0538,966.93,873.0333,162.02348,35.00304,9.999676,9.999676,0,0,0,0,0,0,,0.34003833,0,0.059997056,0,0,0.23500694,0.21099639,4.8564796,0.36103624,3.0001352,3.0001352,0,3.0001352,0.35999107,0.48897105,86.90922,2.600379,5.9997916,1.010033,18.999727,233.00462,279.01654,778.9413,2.5303097,0.11400097,0.022001525,46.60282,,62.006737,,,,,0,65.04684,2.5303097,0,0,1
Pork. cured. ham with natural juices. shank. bone-in. separable lean only. heated. roasted,3.1,1.7,26.30054242,20.3944395,17.66363628,0%,31%,69%,0.340038329,43,134,144.9797,0.45145142,44.725433,99.78282,0,0,0,0.34003833,49.999485,130.02084,160.00629,0,0,0,4.9701366,1.5639443,0,0,0,0,0,,51.005302,0,1010.1094,9.999676,474.04764,,7.000213,12.00148,,2.3796682,0,0,125.9914,,,0,2221.1943,2197.7725,23.001692,33.004616,0,,,,0.6000336,,500.0123,478.0235,,,13.000965,,,15.999458,15.999458,0,0,18.00149,0,,,65.993965,,,0,,0,0,0.036002528,0.02299783,0.012998266,15.999458,505.01642,24.949238,233.97969,1115.8776,1125.9596,1999.0667,2107.8826,597.022,280.0042,997.85406,810.0745,1261.9696,1597.0178,1086.8678,1469.9961,2176.6943,3570.9382,1303.1665,1070.9254,976.92084,162.02348,37.003403,11.000802,11.000802,0,0,0,0,0,0,,0.28999484,0,0.03999539,0,0,0.2910249,0.1979963,7.7931657,0.38098842,3.0001352,3.0001352,0,3.0001352,0.6899491,0.5570485,104.30577,2.8996646,7.000213,1.1999991,21.002775,255.01575,458.0305,820.0236,3.059523,0.17299223,0.022001525,48.69961,,73.98957,,,,,0,66.976395,3.0901527,0,0,1
Pork. cured. ham with natural juices. shank. bone-in. separable lean only. unheated,3.2,1.8,27.68682435,21.30765533,17.48708836,0%,23%,77%,0,41,134,130.02084,0,29.97232,100.03958,0,0,0,0.29997736,49.999485,109.983536,139.99113,0,0,0,3.3303964,1.0480809,0,0,0,0,0,,33.994606,0,676.92224,5.9997916,317.98795,,5.0005703,8.001201,,1.5949122,0,0,83.99968,,,0,1489.0065,1472.832,14.998988,21.99718,0,,,,0.40204018,,334.97418,320.0375,,,8.999572,,,9.999676,9.999676,0,0,12.00148,0,,,43.998653,,,0,,0,0,0.023997106,0.014999647,0.009000169,9.999676,338.00073,25.11005,236.01791,1123.0698,1132.8529,2011.3052,2120.7874,601.06305,281.99005,1003.963,815.0339,1270.1034,1605.763,1093.873,1478.9955,2190.0203,3592.8,1311.1447,1077.828,982.9016,163.01541,33.004616,9.999676,9.999676,0,0,0,0,0,0,,0.2599705,0,0.03999539,0,0,0.23500694,0.24602175,5.2796035,0.39295185,3.0001352,3.0001352,0,3.0001352,0.36998367,0.51597387,97.313675,2.7000108,7.000213,1.0998687,20.001848,249.98695,298.968,809.0343,2.7899773,0.11699465,0.022001525,52.299473,,62.99049,,,,,0,70.508865,2.6297917,0,0,1
Pork. cured. ham with natural juices. slice. bone-in. separable lean and fat. heated. pan-broil,2.9,1.6,23.75180136,18.85575773,18.11225861,1%,41%,58%,0.170000076,38,133,180.02693,0.77390975,74.53826,104.708626,0,0,,0.02000271,0,20.001848,0,0,0,0,8.281034,2.426778,0,0,0,3.9998012,3.9998012,,88.00489,0,1552.0059,21.99718,727.8939,,11.000802,18.00149,,3.2064812,0,0,194.01866,,,0,2960.1145,,,51.997932,0,,,,1.0640401,,900.9544,,,,,,,33.004616,,,0,35.00304,0,,,94.99714,,,0,,0,0,0.047996275,,,33.004616,936.06177,26.1809,244.03609,1166.8323,1178.1315,2091.694,2202.0125,624.08356,294.01544,1045.0967,845.97754,1322.1412,1673.1648,1140.1545,1544.0494,2281.9463,3740.0015,1385.1819,1128.132,1024.1589,170.02179,43.998653,13.000965,13.000965,0,0,0,0,0,0,,0.23998661,0.010001244,0.03999539,0,0,0.30603185,0.24697581,8.521233,0.3759904,1.0000149,1.0000149,0,1.0000149,0.5799125,0.46397573,127.41595,1.7002631,12.00148,1.150138,21.99718,280.0042,344.02557,821.07794,2.87,0.11500275,0.022001525,48.201557,,79.99666,,,,,0,63.355774,2.799857,0,0,1
